z,d_L,Δd_L
2.971766307740693058e-01,1.586491787735935986e+03,1.022849055367507276e+02
2.648930707468170609e-01,1.390671903276628882e+03,8.965993102445185059e+01
2.822270974585144310e-01,1.495182054607016880e+03,9.639794948700914290e+01
2.714761905312956802e-01,1.430188450566571191e+03,9.220765698051148718e+01
2.898547346121800317e-01,1.541635949945685979e+03,9.939294280072223842e+01
2.739245010468701613e-01,1.444939600406977888e+03,9.315869875686865953e+01
2.537459455675369346e-01,1.324251631330156442e+03,8.537765783886823101e+01
2.744704793694793810e-01,1.448233162233183748e+03,9.337104253505718532e+01
2.819133884865956396e-01,1.493277548195070494e+03,9.627516142094667373e+01
2.836083206807794577e-01,1.503573066167089564e+03,9.693893799474334116e+01
2.723504721815545593e-01,1.435452634727767872e+03,9.254705147584918734e+01
2.900781391013134147e-01,1.543000772100067707e+03,9.948093613684572745e+01
2.917746279748892890e-01,1.553372804328403390e+03,1.001496457670502735e+02
2.575085702609342664e-01,1.346601608151774144e+03,8.681861409569836496e+01
2.932566844501862113e-01,1.562445167398778267e+03,1.007345626300443797e+02
2.707526857285386668e-01,1.425834969289683841e+03,9.192697766996937503e+01
2.781021083812872940e-01,1.470177863712626731e+03,9.478586972496673013e+01
2.841207024775910805e-01,1.506688174254635214e+03,9.713977643521587879e+01
2.680703519524154643e-01,1.409717381587822956e+03,9.088783838900415901e+01
2.910526659447232878e-01,1.548957162348258862e+03,9.986495880786485202e+01
2.611426043129072561e-01,1.368255257347532734e+03,8.821467645141650848e+01
2.828434673507372876e-01,1.498925390884684930e+03,9.663929129571776855e+01
2.511587959302609696e-01,1.308925397377963463e+03,8.438953901962658222e+01
2.745393053637864011e-01,1.448648452480110564e+03,9.339781728674869044e+01
2.732320789722280097e-01,1.440764740255522383e+03,9.288953557586651755e+01
2.913570170701345052e-01,1.550818319469674407e+03,9.998495204188260743e+01
2.555088268565015586e-01,1.334714266151228685e+03,8.605220883409658938e+01
2.732286346164830015e-01,1.440743978903299649e+03,9.288819704202263949e+01
2.730929757838111427e-01,1.439926322140700449e+03,9.283548076238574254e+01
2.864607521808010815e-01,1.520931084011569510e+03,9.805805076245681562e+01
2.540682657351139295e-01,1.326163419107860591e+03,8.550091535192970582e+01
2.513088484849329562e-01,1.309813381829105765e+03,8.444678949290688763e+01
2.639841582657771468e-01,1.385232868931531584e+03,8.930926352115935174e+01
2.564709953596590042e-01,1.340431302964961105e+03,8.642079981891174612e+01
