z,SNR,m1,m2,Mc,eta,dL,iota,theta,phi,psi
1.914915,1359.616597,83315.139243,64542.545401,185780.101439,0.245970,15080.041560,1.003675,1.179366,3.306246,3.267199
2.015468,252.241249,630107.279384,572266.038690,1575993.054445,0.249421,16052.242707,0.715451,2.603175,3.790442,1.856271
2.052145,532.707447,351756.787832,48081.483627,317073.929907,0.105792,16409.135231,1.282086,1.520183,0.360416,3.289068
1.724015,714.452558,537845.090720,352171.753717,1027488.129173,0.239120,13261.285554,0.925890,1.321072,2.504415,1.159006
1.915077,437.389365,840709.974310,279726.485214,1195640.249011,0.187329,15081.600072,0.715679,1.236887,6.047122,5.707855
1.627975,780.131829,450336.157839,448735.459169,1028439.465491,0.249999,12360.914522,0.522784,1.860636,3.297283,0.916807
2.267555,27.158842,5881510.938462,2506116.449200,10729738.956255,0.209513,18527.989025,1.460438,1.986442,6.031930,2.015103
2.040736,357.130843,848822.589470,570461.725538,1834809.115697,0.240383,16297.989518,0.906401,1.248151,3.773906,0.650941
2.001453,60.700270,2215567.538938,836390.624482,3476580.264869,0.198947,15916.182529,1.413526,1.698584,1.020453,4.415226
2.043650,860.342691,204671.462231,144555.564366,454389.650999,0.242592,16326.368416,0.831129,1.254703,4.992731,3.555997
1.746838,186.133237,460962.792575,259808.268554,820851.911414,0.230528,13476.748506,1.535510,1.523730,4.463188,3.005341
1.613276,707.567638,565620.593332,251422.429489,844294.146308,0.213029,12224.033776,0.578173,2.025470,3.005672,0.617029
1.740592,350.071768,392590.479362,251295.557658,745688.319765,0.237961,13417.731792,1.558477,0.527663,1.428748,4.366630
1.986063,685.341616,96610.890246,58116.142752,193543.913032,0.234526,15766.987157,0.751901,0.662204,6.219061,4.665756
2.118465,227.069810,684032.260041,357807.751235,1329279.844222,0.225488,17057.413112,1.089930,2.139454,3.213911,3.174524
2.072950,197.011865,1460600.083802,534420.558675,2306824.976343,0.196119,16612.094684,0.516615,0.686820,6.024500,3.633097
1.800453,95.065975,4336833.602645,4100370.868177,10279833.763951,0.249804,13985.077344,0.610137,1.185109,3.204442,1.962835
1.698819,290.883449,1333914.623616,1161359.761296,2922853.248730,0.248804,13024.082204,0.942151,1.684296,1.996461,2.036526
2.082933,390.007960,432235.608920,290452.157364,947220.535112,0.240377,16709.626224,0.749189,1.320744,0.619127,4.734041
1.650297,142.648341,2840933.993189,2482585.920376,6124548.408033,0.248867,12569.254800,0.804128,0.950755,0.093771,1.501849
2.284467,53.288053,3810393.113539,1582485.764170,6891067.129057,0.207333,18695.904498,0.463591,2.597101,2.543692,5.751112
1.915706,773.569198,322633.440262,267700.074522,745313.338696,0.247835,15087.643459,1.292312,2.082323,6.174608,1.085659
1.767926,434.732360,397933.193529,348392.934493,896801.704666,0.248898,13676.328173,0.939723,1.366407,5.056571,4.327962
1.823233,90.082231,2347488.825555,1133780.396405,3958026.614818,0.219613,14201.957801,1.057544,0.586352,5.669303,5.818127
1.686414,580.725530,942254.768458,624160.084052,1785953.648049,0.239690,12907.549351,0.982908,0.890805,3.180830,1.813764
1.990490,891.735801,331777.822539,31692.237057,238083.249321,0.079591,15809.884148,1.021322,0.969906,2.336892,0.813101
2.110491,60.901417,3267078.366063,1852318.476934,6608612.785541,0.230907,16979.271751,0.990941,2.359756,2.923387,4.754566
1.703369,868.172179,91389.089909,49149.614637,156240.910858,0.227417,13066.861852,1.504456,1.278931,3.105874,1.186483
